prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
564.0,13.0,0.00564,0.00039,0.00603
